customer_id,recency,frequency,monetary,R,F,M,rfm_score,rfm_total,age,gender,region,loyalty_tier,avg_order_value,total_orders,online_ratio,avg_discount_used,customer_lifetime_days,category_diversity,gender_enc,region_enc,loyalty_enc,cluster,segment
CUST00001,26,34,25143.34,2,3,3,233,8,56,F,Central,Bronze,739.51,34,0.6764705882352942,0.0294117647058823,1036,5,1,0,0,0,Loyal Customers
CUST00002,43,35,28251.87,1,3,4,134,8,69,M,South,Bronze,807.1962857142856,35,0.7428571428571429,0.0228571428571428,1006,5,0,3,0,1,Champions
CUST00003,13,29,17985.56,3,1,1,311,5,46,F,South,Bronze,620.191724137931,29,0.6206896551724138,0.0224137931034482,982,5,1,3,0,0,Loyal Customers
CUST00004,3,51,34670.78,5,5,5,555,15,32,Other,East,Bronze,679.8192156862744,51,0.5294117647058824,0.0225490196078431,1045,5,2,1,0,1,Champions
CUST00005,2,32,22076.98,5,2,2,522,9,60,M,Central,Gold,689.905625,32,0.6875,0.034375,1055,5,0,0,2,0,Loyal Customers
CUST00006,12,26,21577.51,4,1,2,412,7,25,M,North,Bronze,829.9042307692307,26,0.6538461538461539,0.0403846153846153,1074,5,0,2,0,0,Loyal Customers
CUST00007,1,35,25481.47,5,3,3,533,11,38,M,South,Bronze,728.042,35,0.6285714285714286,0.04,1094,5,0,3,0,0,Loyal Customers
CUST00008,11,33,20140.01,4,2,1,421,7,56,F,Central,Bronze,610.3033333333333,33,0.696969696969697,0.0348484848484848,1072,5,1,0,0,0,Loyal Customers
CUST00009,1,32,22485.4,5,2,2,522,9,36,F,Central,Bronze,702.6687499999999,32,0.59375,0.021875,1045,5,1,0,0,0,Loyal Customers
CUST00010,50,25,23812.5,1,1,2,112,4,40,M,North,Gold,952.5,25,0.6,0.04,1027,5,0,2,2,0,Loyal Customers
CUST00011,68,34,23942.69,1,3,2,132,6,28,F,Central,Bronze,704.1967647058823,34,0.5588235294117647,0.0161764705882352,972,5,1,0,0,0,Loyal Customers
CUST00012,33,34,22411.38,2,3,2,232,7,28,M,Central,Platinum,659.1582352941177,34,0.6764705882352942,0.0205882352941176,1053,5,0,0,3,0,Loyal Customers
CUST00013,68,35,34914.71,1,3,5,135,9,41,M,Central,Bronze,997.5631428571428,35,0.7428571428571429,0.0142857142857142,1021,5,0,0,0,1,Champions
CUST00014,15,38,27411.14,3,4,4,344,11,53,F,South,Silver,721.3457894736842,38,0.7105263157894737,0.0355263157894736,1039,5,1,3,1,1,Champions
