date,forecast_revenue
2025-01-01,34001.39903698677
2025-01-02,36280.31997072889
2025-01-03,36756.51337190689
2025-01-04,48886.10027119193
2025-01-05,51453.002836284875
2025-01-06,39009.4840144491
2025-01-07,40018.78332015204
2025-01-08,37968.88610654885
2025-01-09,38938.61804009315
2025-01-10,38456.34172531326
2025-01-11,54903.19176459185
2025-01-12,52493.94618915289
2025-01-13,39434.07843340756
2025-01-14,37871.24856606513
2025-01-15,36606.86427865597
2025-01-16,35914.47340905485
2025-01-17,36129.82232854959
2025-01-18,50025.3273442712
2025-01-19,49993.5448975028
2025-01-20,36162.04891356518
2025-01-21,36884.11559405629
2025-01-22,35506.5007181417
2025-01-23,36090.36108514237
2025-01-24,35903.90794548066
2025-01-25,49299.015225949435
2025-01-26,47312.2931448583
2025-01-27,36165.752295826154
2025-01-28,35100.14063715098
2025-01-29,37056.80886264943
2025-01-30,36463.837134273126
